Model,Acc Mean,Acc Std,Train Time (s),Infer Time (ms)
CNN,0.9984036488027366,0.0011628322721990406,11.455954980850219,0.78648499080113
LSTM,0.9949828962371722,0.0011628322721990232,13.090553140640258,1.112508773803711
CNN+BiLSTM,0.9571265678449258,0.023430421051842794,14.5197247505188,1.581771033150809
CNN+BiLSTM+Att,0.9906499429874571,0.0036345216534798704,18.553169870376585,1.5643698828560968
Transformer,0.9466362599771949,0.014751162261159594,754.4324872016907,57.79057911464146
CNN+Transformer,0.9995438996579248,0.0005586065547965978,45.676280689239505,3.669459479195731
CNN+Transformer(NoiseAug),0.9988597491448118,1.1102230246251565e-16,46.72127261161804,3.715099607195173
