model,clean,snr_9,snr_6,snr_3,snr_0,drop_snr_9,drop_snr_6,drop_snr_3,drop_snr_0
cnn,1.0,0.9942987457240593,0.9543899657924744,0.7217787913340935,0.41391106043329534,0.5701254275940704,4.561003420752563,27.822120866590648,58.60889395667046
rnn_lstm,0.9965792474344356,0.9942987457240593,0.992018244013683,0.9863169897377423,0.942987457240593,0.22883295194508219,0.45766590389016437,1.0297482837528642,5.3775743707093815
cnn_bilstm,0.9942987457240593,0.9783352337514253,0.9338654503990877,0.7559863169897377,0.44811858608893956,1.6055045871559668,6.077981651376152,23.967889908256883,54.93119266055045
cnn_bilstm_att,0.9965792474344356,0.9703534777651083,0.9258836944127709,0.7924743443557583,0.5507411630558723,2.6315789473684283,7.093821510297481,20.48054919908467,44.73684210526316
transformer,0.9646522234891676,0.9201824401368301,0.8358038768529077,0.6659064994298746,0.4241733181299886,4.609929078014175,13.35697399527186,30.9692671394799,56.02836879432624
cnn_transformer,1.0,0.9589509692132269,0.7297605473204105,0.4218928164196123,0.314709236031927,4.104903078677314,27.02394526795895,57.81071835803877,68.5290763968073
cnn_transformer_noiseaug,0.9988597491448119,1.0,0.9977194982896237,0.984036488027366,0.8768529076396807,-0.114155251141548,0.11415525114155912,1.4840182648401905,12.214611872146126
